lastname,Russell,Wong,Mendez,Colon,Pratt,Johnson,Massey,Webb,Crawford,Gonzalez,Washington,Berry,Edwards,Daniels,Page,Snyder,Moran,Silva
firstname,Doris,Whitney,Bernadette,Ronald,Albert,Angelica,Ben,Nettie,Gertrude,Casey,Arlene,Ella,Manuel,Norman,Jeremy,Vivian,Hazel,Cheryl
gender,F,F,F,M,M,F,M,F,F,M,F,F,M,M,M,M,M,F
id,861836,184294,581916,599992,431907,864083,682582,882618,425515,732776,747110,951445,419985,318847,302353,188676,425077,382579
age,14,14,13,16,14,13,16,16,14,13,13,13,16,13,16,13,16,15
a1,89,74,72,73,82,83,83,78,87,78,79,77,78,77,78,75,81,91
a2,96,75,68,69,87,77,85,80,73,89,70,90,82,82,74,78,87,91
a3,97,76,73,69,94,85,84,77,82,99,68,95,72,69,75,75,85,86
a4,78,71,75,68,85,83,82,77,88,95,78,91,78,65,81,71,91,99
a5,94,68,84,67,100,89,83,80,79,89,88,80,84,75,80,76,82,89
a6,97,83,72,70,91,79,84,79,79,85,82,85,88,78,62,65,85,90
a7,86,67,68,70,90,91,84,76,84,94,86,93,79,79,81,74,84,96
a8,92,77,77,72,92,79,83,78,82,94,80,91,67,73,75,69,88,88
a9,90,72,65,74,91,91,83,78,78,98,77,82,81,67,76,65,88,95
a10,99,75,71,72,93,84,83,75,84,97,79,89,84,76,73,75,83,88
a11,90,76,70,71,92,78,77,76,80,95,78,88,83,73,71,72,87,90
